intraday_price,price_change,stock_name
112.28,-1.97,NVIDIA Corporation (NVDA)
30.18,+0.20,Pfizer Inc. (PFE)
41.68,-0.51,Bank of America Corporation (BAC)
7.27,+0.17,"SoFi Technologies, Inc. (SOFI)"
16.13,-0.05,Energy Transfer LP (ET)
5.82,+0.56,Transocean Ltd. (RIG)
20.28,-0.39,"Marathon Digital Holdings, Inc. (MARA)"
22.82,+0.45,"Avantor, Inc. (AVTR)"
3.9200,-0.0700,Sirius XM Holdings Inc. (SIRI)
6.34,-0.04,Southwestern Energy Company (SWN)
167.28,-5.35,Alphabet Inc. (GOOGL)
50.82,-0.96,"Chipotle Mexican Grill, Inc. (CMG)"
4.2700,-0.0300,NIO Inc. (NIO)
179.85,-0.98,"Amazon.com, Inc. (AMZN)"
217.49,-1.05,Apple Inc. (AAPL)
3.4600,+0.1800,"Lucid Group, Inc. (LCID)"
26.63,+0.03,Palantir Technologies Inc. (PLTR)
19.19,+0.03,AT&T Inc. (T)
31.10,-0.60,Intel Corporation (INTC)
59.70,-27.25,Edwards Lifesciences Corporation (EW)
220.25,+4.26,"Tesla, Inc. (TSLA)"
10.60,+0.43,American Airlines Group Inc. (AAL)
138.32,-6.31,"Advanced Micro Devices, Inc. (AMD)"
12.42,+0.07,Equitrans Midstream Corporation (ETRN)
11.16,-2.51,Ford Motor Company (F)
